,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.078071594,0.074519046,0.059343915,0.056213107,0.08107022,0.084455244,0.033401027,0.03680456,0.08148144,0.08239334,0.08508349,0.084432244,0.03582972,0.07146474,0.055436388
1,0.07819088,0.07440107,0.05933187,0.056349017,0.08125135,0.084429435,0.03348493,0.03693771,0.0814189,0.082255475,0.08483605,0.08434222,0.03592888,0.07144404,0.055398036
2,0.07813831,0.074595556,0.05932878,0.05628407,0.08106064,0.0843347,0.03351573,0.03690048,0.08143159,0.08230073,0.08489579,0.08433254,0.03592182,0.07149773,0.055461537
3,0.07812086,0.07457046,0.05932483,0.056260794,0.081063494,0.084384464,0.03347827,0.036861546,0.08144857,0.08233554,0.08496561,0.08436618,0.035887398,0.07148244,0.055449534
4,0.07812925,0.07464518,0.059329845,0.056302335,0.08102488,0.084264845,0.033553965,0.03693011,0.081432216,0.08229208,0.084825866,0.084304295,0.035950895,0.071516685,0.0554977
5,0.07819355,0.074403375,0.059331287,0.056354575,0.08125046,0.08441993,0.033492688,0.036944672,0.08141695,0.082252145,0.08482031,0.08433527,0.035935838,0.071446136,0.055402763
6,0.078185126,0.074397795,0.059334118,0.056343284,0.081252664,0.08443887,0.033476844,0.03693078,0.08142046,0.08226005,0.08484913,0.084349506,0.035923775,0.07144155,0.05539612
7,0.07819322,0.07440542,0.05933486,0.05635909,0.081253864,0.08441127,0.03349654,0.036952432,0.08141504,0.08224397,0.084806636,0.084328756,0.03594329,0.07144973,0.05540589
8,0.07820386,0.07442074,0.059333857,0.056377698,0.08125122,0.08437626,0.033522777,0.036977917,0.081407174,0.08222584,0.08475509,0.08430657,0.035965115,0.071458675,0.0554172
9,0.07818518,0.07440252,0.05933834,0.05634948,0.08125355,0.0844236,0.033485573,0.036941756,0.08141645,0.08225193,0.08482636,0.08434033,0.035935406,0.071446635,0.055402923
10,0.0780874,0.07432658,0.059318647,0.05621244,0.081189625,0.08464163,0.033310104,0.036734957,0.08152546,0.08244943,0.085215844,0.08453031,0.035733074,0.07137383,0.055350665
11,0.078105845,0.07450062,0.05932927,0.056224443,0.08109438,0.08447868,0.033412322,0.036807314,0.08146531,0.0823761,0.0850791,0.0844248,0.035833664,0.07145394,0.055414136
12,0.078144915,0.07460143,0.059327144,0.056294568,0.0810592,0.08431798,0.03352956,0.036913153,0.08142778,0.08229227,0.08487017,0.084319,0.035934046,0.071501434,0.05546736
13,0.07814341,0.07460686,0.059325512,0.056295294,0.08105515,0.08431469,0.033531662,0.036913373,0.08142812,0.08229448,0.08486737,0.08432098,0.03593317,0.07150072,0.055469196
14,0.078172386,0.07438245,0.059334792,0.056327954,0.08125359,0.08446824,0.03345248,0.036908038,0.081428744,0.0822799,0.08489417,0.08436803,0.0359061,0.07143349,0.055389624
15,0.07813972,0.07437306,0.05934741,0.05629948,0.08124861,0.084501885,0.03341711,0.036874488,0.08144264,0.082311966,0.08495132,0.08440998,0.03587601,0.07142174,0.055384558
16,0.07816226,0.07437168,0.059333332,0.056307595,0.08124774,0.084500656,0.03342955,0.036880102,0.08143972,0.08230381,0.0849468,0.0843958,0.035878625,0.07142324,0.055379182
17,0.07811803,0.074613236,0.059308186,0.056263953,0.081021905,0.08434723,0.03349714,0.036866285,0.0814609,0.08233896,0.08495275,0.084363565,0.035882663,0.07149619,0.055469017
18,0.07818163,0.07440081,0.05933717,0.056341413,0.08125113,0.0844364,0.033476993,0.036930602,0.081418976,0.08225974,0.08484725,0.08434945,0.035926264,0.07144326,0.055398814
19,0.07810208,0.07460272,0.059325963,0.056258176,0.08103346,0.08435128,0.03348377,0.03686584,0.081458315,0.082340024,0.08495648,0.084358945,0.035892446,0.0714978,0.055472694
20,0.078092076,0.07460132,0.059342243,0.0562508,0.081034146,0.08434825,0.03347916,0.036866963,0.08145596,0.082343966,0.08495516,0.084366,0.03589261,0.07149803,0.055473346
21,0.07814645,0.07451702,0.05931846,0.056263078,0.081109464,0.08443858,0.03346628,0.036850102,0.081443176,0.082331546,0.08498427,0.084388174,0.03586902,0.071459025,0.05541536
22,0.07816638,0.07436886,0.059323397,0.05630345,0.08124238,0.08451516,0.033425976,0.036866944,0.08144655,0.08231746,0.084967665,0.08440573,0.035863142,0.07141528,0.055371583
23,0.07810418,0.074553706,0.059324596,0.056240734,0.081065,0.08442133,0.03344657,0.036831684,0.0814625,0.082360774,0.08502286,0.08439498,0.035859033,0.07147222,0.05543981
24,0.07817515,0.07437829,0.05932745,0.05632726,0.08125154,0.08447556,0.033450425,0.03690194,0.081432596,0.08228681,0.08490437,0.08437172,0.035899226,0.0714302,0.05538735
