X,Y,OBJECTID,PALSSUM,OMR_NAMN,PSUM_HA,Shape_area,Shape_len
20.8438529509986,68.4978141341353,"1","27125",Tavvavuoma,271.25000000,55396707.96609999985,99951.22307360001
20.6094274876069,68.3110783775081,"2","5774",Rágesvuomus-Pirttimysvuoma,57.74000000,50187750.98979999870,131889.80052700001
20.6015269382468,68.5297344611879,"3","10574",Västra delarna av Tavvavuoma,105.74000000,32262607.66030000150,63252.62137210000
21.2055275121176,68.794904342781,"4","27375",Vissátvuopmi,273.75000000,22870063.57779999822,40756.37618030000
18.7144336250987,67.6460991809156,"6","5070",Sirccam,50.70000000,13650313.06169999950,29339.62945960000
20.094440473235,68.2808800405872,"7","6962",Gipmevuopmi,69.62000000,12979077.09659999982,28665.00758550000
21.0349720769468,68.8376616106073,"9","8606",Árbuvuopmi,86.06000000,11565940.86720000021,25128.92555440000
19.6046699103392,68.359853411206,"18","5013",Ribasvuomus,50.13000000,6874927.08249999955,15698.89700300000
