Datum,precip_mm
19/11/2009,0.1
20/11/2009,2.3
21/11/2009,2.9
22/11/2009,0.9
23/11/2009,5.2
24/11/2009,0.5
25/11/2009,0.8
26/11/2009,1.2
27/11/2009,1.6
28/11/2009,4.3
29/11/2009,0.8
30/11/2009,4.6
01/12/2009,0.2
02/12/2009,0
03/12/2009,0.4
04/12/2009,0
05/12/2009,1.3
06/12/2009,0.3
07/12/2009,0
08/12/2009,0.7
09/12/2009,0.1
10/12/2009,0
11/12/2009,0
12/12/2009,0.3
13/12/2009,0.7
14/12/2009,0.3
15/12/2009,0
16/12/2009,0.2
17/12/2009,0.4
18/12/2009,0
19/12/2009,1
20/12/2009,0.4
21/12/2009,3.1
22/12/2009,1.8
23/12/2009,1.6
24/12/2009,0
25/12/2009,0.5
26/12/2009,0.1
27/12/2009,0.8
28/12/2009,3.3
29/12/2009,2
30/12/2009,0.4
31/12/2009,0.5
01/01/2010,0.2
02/01/2010,0.3
03/01/2010,1.1
04/01/2010,0.2
05/01/2010,0.2
06/01/2010,0
07/01/2010,0.3
08/01/2010,0
09/01/2010,0
10/01/2010,0
11/01/2010,0.5
12/01/2010,0.1
13/01/2010,0
14/01/2010,0
15/01/2010,0.3
16/01/2010,0.1
17/01/2010,0
18/01/2010,0
19/01/2010,0
20/01/2010,0
21/01/2010,0.2
22/01/2010,0.5
23/01/2010,0.3
24/01/2010,0.1
25/01/2010,0
26/01/2010,2.6
27/01/2010,8
28/01/2010,0.8
29/01/2010,0.4
30/01/2010,1.2
31/01/2010,2.8
01/02/2010,1
02/02/2010,3.1
03/02/2010,0.3
04/02/2010,2.8
05/02/2010,0.6
06/02/2010,0
07/02/2010,0.5
08/02/2010,0.1
09/02/2010,1.1
10/02/2010,1.1
11/02/2010,0
12/02/2010,0.2
13/02/2010,0
14/02/2010,0
15/02/2010,0
16/02/2010,1.4
17/02/2010,0.6
18/02/2010,0
19/02/2010,0.2
20/02/2010,0
21/02/2010,0.1
22/02/2010,2.7
23/02/2010,0.3
24/02/2010,0.2
25/02/2010,0
26/02/2010,1.7
27/02/2010,2.1
28/02/2010,0
01/03/2010,0
02/03/2010,0
03/03/2010,0
04/03/2010,0
05/03/2010,0.3
06/03/2010,0
07/03/2010,0.3
08/03/2010,0
09/03/2010,0
10/03/2010,0
11/03/2010,0
12/03/2010,0
13/03/2010,0
14/03/2010,0
15/03/2010,0
16/03/2010,0
17/03/2010,0
18/03/2010,0.6
19/03/2010,0.8
20/03/2010,0.1
21/03/2010,0
22/03/2010,0
23/03/2010,0
24/03/2010,0
25/03/2010,0
26/03/2010,0
