Datum,min,max
19/04/2009,-10.2,-0.4
20/04/2009,-5.3,3
21/04/2009,-3.1,7.1
22/04/2009,0,5.3
23/04/2009,0,7.3
24/04/2009,-0.2,9
25/04/2009,-1.1,5.8
26/04/2009,-3.3,4.2
27/04/2009,-1,5.7
28/04/2009,0.6,5
29/04/2009,-4.6,8.5
30/04/2009,-3.4,10.7
01/05/2009,2.1,15.7
02/05/2009,0,11.8
03/05/2009,-0.8,9.2
04/05/2009,-3.2,7.8
05/05/2009,-2.2,5.1
06/05/2009,-0.2,4.5
07/05/2009,0.5,8.9
08/05/2009,0.9,7.5
09/05/2009,1.7,13.2
10/05/2009,0.1,9.1
11/05/2009,2.3,9.7
12/05/2009,-0.9,8.2
13/05/2009,-1.2,13.7
14/05/2009,-0.6,15.2
15/05/2009,-1.2,17.1
16/05/2009,-0.1,18.8
17/05/2009,0.8,16
18/05/2009,-0.9,7.9
19/05/2009,2.4,16.3
20/05/2009,2,13.1
21/05/2009,2.7,13
22/05/2009,6.4,12.6
23/05/2009,3.6,9.4
24/05/2009,1.8,12.9
25/05/2009,3.1,13
26/05/2009,0.7,10.2
27/05/2009,1,7.5
28/05/2009,0.6,11.7
29/05/2009,6.2,14.8
30/05/2009,9.3,19
31/05/2009,4.9,10.6
01/06/2009,1.9,10
02/06/2009,2.5,7.4
03/06/2009,-0.6,7.9
04/06/2009,0.6,6.1
05/06/2009,0.7,6.8
06/06/2009,0.5,8.9
07/06/2009,2.8,11
08/06/2009,4.1,11.9
09/06/2009,2.9,17.2
10/06/2009,4.7,16.6
11/06/2009,6.4,10.3
12/06/2009,4.8,14
13/06/2009,8.4,14.8
14/06/2009,6.6,15.5
15/06/2009,3.8,10.8
16/06/2009,1.7,11.2
17/06/2009,2.5,12.2
18/06/2009,3.3,13.3
19/06/2009,2.2,13
20/06/2009,3.9,12.8
21/06/2009,1.9,17.5
22/06/2009,5,21.8
23/06/2009,6.9,20.7
24/06/2009,8.3,23.1
25/06/2009,7.3,20.4
26/06/2009,9.3,19.7
27/06/2009,9.2,18.3
28/06/2009,8.5,21.7
29/06/2009,8.6,24.7
30/06/2009,11.6,19.2
01/07/2009,6.2,13.6
02/07/2009,2.2,11.5
03/07/2009,4,10.5
04/07/2009,4.5,9.7
05/07/2009,4.5,8.3
06/07/2009,4.1,10.8
07/07/2009,6,13.1
08/07/2009,8,15.8
09/07/2009,11.4,16.3
10/07/2009,12,20.5
11/07/2009,9.2,22.4
12/07/2009,11.9,20.6
13/07/2009,9.6,22.9
14/07/2009,8.5,19.6
15/07/2009,5,16.3
16/07/2009,7.4,13.6
17/07/2009,6.2,11.6
18/07/2009,7.6,15.1
19/07/2009,3.4,16.9
20/07/2009,2.8,14.5
21/07/2009,2.8,17.1
22/07/2009,9.2,19.6
23/07/2009,11.8,21.4
24/07/2009,13.6,23.7
25/07/2009,10.6,21.2
26/07/2009,12.4,19.6
27/07/2009,9.7,21.7
28/07/2009,9.1,19.9
29/07/2009,9.8,21.9
30/07/2009,10.5,20.2
31/07/2009,10,22.2
01/08/2009,9.9,22.8
02/08/2009,8.8,22.4
03/08/2009,5.3,23.4
04/08/2009,7.5,25.1
05/08/2009,12.2,23.8
06/08/2009,9.4,24.5
07/08/2009,9,25.8
08/08/2009,11.5,26
09/08/2009,12.3,17.3
10/08/2009,11.3,15.5
11/08/2009,10.9,13.5
12/08/2009,3.4,16.4
13/08/2009,2.3,16.2
14/08/2009,2.2,15.2
15/08/2009,6.7,9.1
16/08/2009,4.6,10.1
17/08/2009,-0.7,12.4
18/08/2009,-0.7,11.7
19/08/2009,-2.6,12.1
20/08/2009,9.5,19.4
21/08/2009,12.6,20.1
22/08/2009,2.5,18.3
23/08/2009,8.1,15.2
