MASK,KARTERAD,PALS,PALS_VATT,PALS_HA,PALSVATTHA,Shape_area,Shape_len,In_count,In_sum,In_mean,In_median,In_stdev,In_min,In_max,In_range,In_minority,In_majority,In_variety,In_variance,ro_count,ro_sum,ro_mean,ro_median,ro_stdev,ro_min,ro_max,ro_range,ro_minority,ro_majority,ro_variety,ro_variance
INOM,KLAR,"0","7",0.00000000,0.07000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"12","0",0.12000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"7","0",0.07000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"12","0",0.12000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"14","0",0.14000000,0.00000000,10000.00000000000,400.00000000000,25,0.0789138656109571,0.00315655462443829,0.00310308556072414,0.000797771244631328,0.00175026920624077,0.00499750440940261,0.00324723520316184,0.00175026920624077,0.00175026920624077,25,6.36438958760618e-07,2500,699.987854003906,0.279995141601563,0.20330810546875,0.289428629720623,0.0107421875,2.72705078125,2.71630859375,0.0107421875,0.1353759765625,1993,0.0837689317019576
INOM,KLAR,"4","0",0.04000000,0.00000000,10000.00000000000,400.00000000000,25,0.0601657808292657,0.00240663123317063,0.00222665187902749,0.000513849505853561,0.00165063783060759,0.00364763429388404,0.00199699646327645,0.00165063783060759,0.00165063783060759,25,2.64041314665949e-07,2500,530.568603515625,0.21222744140625,0.16650390625,0.149216891625908,0.00885009765625,1.00518798828125,0.996337890625,0.00885009765625,0.09619140625,1823,0.0222656807464981
INOM,KLAR,"36","0",0.36000000,0.00000000,10000.00000000000,400.00000000000,25,0.0266264913661871,0.00106505965464748,0.000854232406709343,0.000976885009195208,-0.000846624956466258,0.00299678556621075,0.003843410522677,-0.000846624956466258,-0.000846624956466258,25,9.54304321190321e-07,2500,475.115478515625,0.19004619140625,0.15838623046875,0.118491122388416,0.0218505859375,0.73602294921875,0.71417236328125,0.0218505859375,0.0771484375,1707,0.0140401460848665
INOM,KLAR,"5","0",0.05000000,0.00000000,10000.00000000000,400.00000000000,25,0.0382779747305904,0.00153111898922361,0.00123445829376578,0.000913894417706794,-0.000254470127401873,0.00380030577071011,0.00405477589811198,-0.000254470127401873,-0.000254470127401873,25,8.35203006715641e-07,2500,432.42431640625,0.1729697265625,0.15643310546875,0.0902941325903795,0.01806640625,0.815185546875,0.797119140625,0.01806640625,0.18701171875,1642,0.00815303038024903
INOM,KLAR,"3","0",0.03000000,0.00000000,10000.00000000000,400.00000000000,13,0.0214181640767492,0.00164755108282686,0.00185637490358204,0.000865561407509463,0.000466103607323021,0.00267910026013851,0.00221299665281549,0.00104861345607787,0.000466103607323021,9,7.49196550169762e-07,1230,117.270202636719,0.0953416281599339,0.02337646484375,0.146024199687264,0.00677490234375,0.76898193359375,0.76220703125,0.00677490234375,0.0196533203125,639,0.021323066894306
INOM,KLAR,"16","1",0.16000000,0.01000000,10000.00000000000,400.00000000000,25,0.0248573674180079,0.000994294696720317,0.000868392060510814,0.000590563094623087,-0.000510983401909471,0.00209616194479167,0.00260714534670115,-0.000510983401909471,-0.000510983401909471,25,3.48764768730797e-07,2500,376.211730957031,0.150484692382813,0.134796142578125,0.0901798934011844,0.01165771484375,0.51446533203125,0.5028076171875,0.01165771484375,0.07818603515625,1730,0.00813241317384899
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000,25,0.0501909902086481,0.00200763960834593,0.00207382487133145,0.00092628418758069,0.000364673207513988,0.00352125708013773,0.00315658387262374,0.000364673207513988,0.000364673207513988,25,8.58002396162018e-07,2500,400.890686035156,0.160356274414062,0.1524658203125,0.0765542656781514,0.0106201171875,0.50469970703125,0.49407958984375,0.0106201171875,0.1304931640625,1695,0.00586055559352098
INOM,KLAR,"3","0",0.03000000,0.00000000,10000.00000000000,400.00000000000,25,-0.0409058103905409,-0.00163623241562163,-0.00147408677730709,0.00103496813681258,-0.00462373718619347,-5.74424266233109e-05,0.00456629475957016,-0.00462373718619347,-0.00462373718619347,25,1.07115904421731e-06,2500,544.721069335938,0.217888427734375,0.2037353515625,0.097882591432122,0.01678466796875,0.69744873046875,0.6806640625,0.01678466796875,0.1539306640625,1788,0.00958100170546772
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000,25,-0.0390938969794661,-0.00156375587917864,-0.00158870266750455,0.000429855935328229,-0.00250228983350098,-0.000630608992651105,0.00187168084084988,-0.00250228983350098,-0.00250228983350098,25,1.84776125136907e-07,2500,463.99658203125,0.1855986328125,0.16644287109375,0.0902503686432429,0.02947998046875,0.66705322265625,0.6375732421875,0.02947998046875,0.123779296875,1642,0.00814512904024124
INOM,KLAR,"6","1",0.06000000,0.01000000,10000.00000000000,400.00000000000,25,-0.0153838574333349,-0.000615354297333397,-0.000468999933218583,0.000856072752447134,-0.00290250312536955,0.000695235270541161,0.00359773839591071,-0.00290250312536955,-0.00290250312536955,25,7.32860557482413e-07,2500,311.470520019531,0.124588208007813,0.0977783203125,0.0986048914658525,0.00933837890625,0.69964599609375,0.6903076171875,0.00933837890625,0.05419921875,1631,0.00972292462099254
INOM,KLAR,"42","0",0.42000000,0.00000000,10000.00000000000,400.00000000000,25,-0.0230791395715642,-0.000923165582862566,-0.00110527023207396,0.00060985005827504,-0.00195091229397804,0.000256786355748773,0.00220769864972681,-0.00195091229397804,-0.00195091229397804,25,3.7191709357807e-07,2500,869.857360839844,0.347942944335937,0.2608642578125,0.278706911887414,0.01800537109375,1.1910400390625,1.17303466796875,0.01800537109375,0.08392333984375,2000,0.0776775427338188
INOM,KLAR,"43","0",0.43000000,0.00000000,10000.00000000000,400.00000000000,25,-0.0491674056975171,-0.00196669622790068,-0.00199933792464435,0.000545283979912275,-0.00287676579318941,-0.000897985068149865,0.00197878072503954,-0.00287676579318941,-0.00287676579318941,25,2.9733461874897e-07,2500,884.896362304688,0.353958544921875,0.241455078125,0.311497191609965,0.01806640625,1.566650390625,1.548583984375,0.01806640625,0.13922119140625,2047,0.0970305003808953
INOM,KLAR,"27","5",0.27000000,0.05000000,10000.00000000000,400.00000000000,25,-0.082840493763797,-0.00331361975055188,-0.00322978431358933,0.00065045325662649,-0.00485753640532494,-0.00190251076128334,0.0029550256440416,-0.00485753640532494,-0.00485753640532494,25,4.23089439056006e-07,2500,495.805908203125,0.19832236328125,0.108673095703125,0.188943377831075,0.0096435546875,0.9825439453125,0.972900390625,0.0096435546875,0.0675048828125,1820,0.0356996000262165
INOM,KLAR,"0","1",0.00000000,0.01000000,10000.00000000000,400.00000000000,7,-0.00328679507947527,-0.000469542154210753,-0.00122419919352978,0.00155009064955387,-0.00210136151872575,0.00233709090389311,0.00443845242261887,-0.00210136151872575,-0.00160465599037707,6,2.40278102183435e-06,640,93.8251342773438,0.14660177230835,0.1353759765625,0.0952955923649822,0.0040283203125,0.4615478515625,0.45751953125,0.0040283203125,0.0408935546875,531,0.00908124992419286
INOM,KLAR,"0","2",0.00000000,0.02000000,10000.00000000000,400.00000000000,10,0.00565115893550683,0.000565115893550683,0.000605083099799231,0.00069626034386676,-0.000964035629294813,0.00147958169691265,0.00244361732620746,-0.000964035629294813,-0.000964035629294813,10,4.84778466441459e-07,950,118.637634277344,0.124881720291941,0.112060546875,0.0722881896530985,0.00897216796875,0.3831787109375,0.37420654296875,0.00897216796875,0.19671630859375,704,0.00522558236332234
INOM,KLAR,"1","1",0.01000000,0.01000000,10000.00000000000,400.00000000000,25,0.0605635883985087,0.00242254353594035,0.00260237231850624,0.000793694070274058,0.000987131963483989,0.00373355718329549,0.0027464252198115,0.000987131963483989,0.000987131963483989,25,6.29950277188201e-07,2500,177.568725585938,0.071027490234375,0.063262939453125,0.03854605805393,0.0098876953125,0.2640380859375,0.254150390625,0.0098876953125,0.04022216796875,1296,0.00148579859149694
INOM,KLAR,"9","0",0.09000000,0.00000000,10000.00000000000,400.00000000000,25,0.051476480148267,0.00205905920593068,0.00223582820035517,0.00063012828988439,0.000731333915609866,0.00276729092001915,0.00203595700440928,0.000731333915609866,0.000731333915609866,25,3.97061661712626e-07,2500,261.982666015625,0.10479306640625,0.073577880859375,0.0950105496058444,0.00433349609375,0.58294677734375,0.57861328125,0.00433349609375,0.0443115234375,1531,0.00902700453640462
INOM,KLAR,"11","0",0.11000000,0.00000000,10000.00000000000,400.00000000000,25,0.0492634828551672,0.00197053931420669,0.00188733008690178,0.000989782347805512,0.000535766186658293,0.00473708100616932,0.00420131481951103,0.000535766186658293,0.000535766186658293,25,9.79669096027391e-07,2500,490.681091308594,0.196272436523438,0.155303955078125,0.135518027341464,0.0113525390625,0.715087890625,0.7037353515625,0.0113525390625,0.089111328125,1835,0.0183651357345217
INOM,KLAR,"0","3",0.00000000,0.03000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"0","10",0.00000000,0.10000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"22","0",0.22000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"6","0",0.06000000,0.00000000,10000.00000000000,400.00000000000,0,0,,,,,,,,,,,0,0,,,,,,,,,,
INOM,KLAR,"16","0",0.16000000,0.00000000,10000.00000000000,400.00000000000,25,0.0520058320253156,0.00208023328101262,0.00201016385108232,0.000908137932563313,0.000543606642168015,0.00407020328566432,0.0035265966434963,0.000543606642168015,0.000543606642168015,25,8.24714504560369e-07,2500,521.215026855469,0.208486010742188,0.1666259765625,0.152159130787076,0.01617431640625,1.0423583984375,1.02618408203125,0.01617431640625,0.07672119140625,1833,0.0231524010818786
INOM,KLAR,"9","3",0.09000000,0.03000000,10000.00000000000,400.00000000000,25,0.0498709264502395,0.00199483705800958,0.00206589139997959,0.000986556235788141,0.000363934756023809,0.00395761663094163,0.00359368187491782,0.000363934756023809,0.00124177534598857,23,9.73293206372467e-07,2489,288.345947265625,0.115848110592859,0.0673828125,0.127280201095338,0.00604248046875,0.7435302734375,0.73748779296875,0.00604248046875,0.0213623046875,1605,0.0162002495908698
INOM,KLAR,"0","1",0.00000000,0.01000000,10000.00000000000,400.00000000000,25,0.076420740224421,0.00305682960897684,0.00287828035652637,0.00082591170182269,0.00155758019536734,0.00474190525710583,0.00318432506173849,0.00155758019536734,0.00155758019536734,25,6.82130139207653e-07,2500,434.078796386719,0.173631518554688,0.14813232421875,0.13422100977098,0.00848388671875,1.3697509765625,1.36126708984375,0.00848388671875,0.1126708984375,1723,0.0180152794639415
INOM,KLAR,"0","5",0.00000000,0.05000000,10000.00000000000,400.00000000000,25,0.0329205046291463,0.00131682018516585,0.00139504624530673,0.000696331775071321,0.000107296742498875,0.00268944539129734,0.00258214864879847,0.000107296742498875,0.000107296742498875,25,4.84877940973977e-07,2500,1160.72546386719,0.464290185546875,0.20184326171875,0.579668502521889,0.0054931640625,3.04071044921875,3.03521728515625,0.0054931640625,0.13507080078125,2078,0.336015572815969
INOM,KLAR,"25","0",0.25000000,0.00000000,10000.00000000000,400.00000000000,25,0.0329558780904335,0.00131823512361734,0.00118283496703953,0.000926802565302909,-0.000292966404231265,0.00294224987737834,0.00323521628160961,-0.000292966404231265,-0.000292966404231265,25,8.58962995052052e-07,2500,506.985168457031,0.202794067382812,0.17108154296875,0.121437398553834,0.0264892578125,0.877685546875,0.8511962890625,0.0264892578125,0.10003662109375,1744,0.0147470417675227
